"素材位编号","对应页面","对应模块","对应内容岛","对应实体","图片文件名","图片来源链接","来源类型","是否真实图","适用终端","推荐用途","是否需要设计化处理","风险备注","推荐级"
"P0-01","HomeView","首页Hero","老城总线","郁孤台","P0-01_Yugutai_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","Hero","轻度","前景枝叶较多，移动端需居中裁切","备选"
"P0-01","HomeView","首页Hero","老城总线","江南宋城","P0-01_JiangnanSongcheng_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","桌面","Hero","轻度","分辨率一般，更适合加暗罩后做半屏Hero","备选"
"P0-01","HomeView","首页Hero","老城总线","古城墙/八境台城市空间","P0-01_AncientWall_official_03.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","Hero","轻度","右上有高光，叠字避开右上","主选"
"P0-02（红色文化）","HomeView","三主题入口","红色文化线","瑞金红色遗址","P0-02_RuijinRedSites_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","推荐卡片","轻度","分辨率偏低，但旧址辨识度高","备选"
"P0-02（红色文化）","HomeView","三主题入口","红色文化线","瑞金红井","P0-02_RuijinRedSites_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","推荐卡片","否","构图稳定，适合入口卡片","主选"
"P0-02（非遗与客家文化）","HomeView","三主题入口","客家/非遗线","客家围屋","P0-02_HakkaCulture_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/8dcc8823a68742bf8fb3c4f5afff641a.shtml","官方","是","两者都可","推荐卡片","轻度","横向构图完整，适合入口卡片叠字","主选"
"P0-02（非遗与客家文化）","HomeView","三主题入口","客家/非遗线","赣南采茶戏","P0-02_HakkaCulture_culture_02.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","桌面","推荐卡片","轻度","舞台色彩强，需压暗背景再叠字","备选"
"P0-02（非遗与客家文化）","HomeView","三主题入口","客家/非遗线","客家文化城","P0-02_HakkaCulture_official_03.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/a526cccc2ed34a9d8aedf01fce10e5ed.shtml","官方","是","两者都可","推荐卡片","轻度","中轴建筑稳定，适合入口图","备选"
"P0-02（城市风味与老城体验）","HomeView","三主题入口","老城总线","古浮桥","P0-02_OldCityLife_culture_01.jpg","https://www.gzswhg.com.cn/tsk_show.aspx?id=1114","其他可靠来源","是","两者都可","推荐卡片","轻度","俯拍线条明确，适合老城体验入口","主选"
"P0-02（城市风味与老城体验）","HomeView","三主题入口","老城总线","江南宋城街区","P0-02_OldCityLife_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","桌面","推荐卡片","轻度","分辨率一般，但街区氛围好","备选"
"P0-02（城市风味与老城体验）","HomeView","三主题入口","老城总线","夜市生活场景","P0-02_OldCityLife_media_03.jpg","https://www.hakkaheadline.com/v/2024/05/520.html","媒体","是","桌面","推荐卡片","轻度","生活气息强，但不是老城核心点位","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","赣南小炒鱼","P0-03_FoodTopic_sina_01.jpg","https://k.sina.cn/article_5457629507_1454cd143001001nga.html","媒体","是","桌面","专题头图","中度","菜品特写分辨率偏低，更适合作为拼贴元素","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","宁都肉丸","P0-03_FoodTopic_cyw_02.jpg","https://m.cyw.com/delicacy/432","其他可靠来源","是","两者都可","专题头图","轻度","菜品清晰，但生活场景感较弱","备选"
"P0-03","FoodListView","专题头图","城市风味与老城体验","夜市风味场景","P0-03_FoodTopic_media_03.jpg","https://www.hakkaheadline.com/v/2024/05/520.html","媒体","是","两者都可","专题头图","轻度","最有生活感，适合做专题头图底图","主选"
