"素材位编号","对应页面","对应模块","对应内容岛","对应实体","图片文件名","图片来源链接","来源类型","是否真实图","适用终端","推荐用途","是否需要设计化处理","风险备注","推荐级"
"P0-01","HomeView","首页Hero","老城总线","郁孤台","P0-01_Yugutai_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","Hero","轻度","前景枝叶较多，移动端裁切容易压缩主体","备选"
"P0-01","HomeView","首页Hero","老城总线","江南宋城","P0-01_JiangnanSongcheng_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","桌面","Hero","轻度","夜景气质好，但更适合中小横幅，不如主选稳","备选"
"P0-01","HomeView","首页Hero","老城总线","古城墙/八境台城市空间","P0-01_AncientWall_official_03.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","Hero","轻度","城市主轴和江景关系明确，最适合首页首屏定调","主选"
"P0-02（红色文化）","HomeView","三主题入口","红色文化线","瑞金红色遗址","P0-02_RuijinRedSites_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","推荐卡片","轻度","旧址立面锚点明确，主题识别度优于红井近景","主选"
"P0-02（红色文化）","HomeView","三主题入口","红色文化线","瑞金红井","P0-02_RuijinRedSites_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/d77e67db4e304c5fb7a1974d5bf3090f.shtml","官方","是","两者都可","推荐卡片","否","真实可靠，但更像研学现场照，入口辨识度稍弱","备选"
"P0-02（非遗与客家文化）","HomeView","三主题入口","客家/非遗线","客家围屋","P0-02_HakkaCulture_official_01.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/8dcc8823a68742bf8fb3c4f5afff641a.shtml","官方","是","两者都可","推荐卡片","轻度","横向构图完整，作为主题入口最稳","主选"
"P0-02（非遗与客家文化）","HomeView","三主题入口","客家/非遗线","赣南采茶戏","P0-02_HakkaCulture_culture_02.jpg","https://www.gzswhg.com.cn/whdt_show.aspx?id=1809","其他可靠来源","是","桌面","推荐卡片","轻度","舞台色彩强，更适合作为专题或内容卡补充","备选"
"P0-02（非遗与客家文化）","HomeView","三主题入口","客家/非遗线","客家文化城","P0-02_HakkaCulture_official_03.jpg","https://www.ganzhou.gov.cn/zfxxgk/c144214/202211/a526cccc2ed34a9d8aedf01fce10e5ed.shtml","官方","是","两者都可","推荐卡片","轻度","中轴稳定，但记忆点不如围屋总览强","备选"
"P0-02（城市风味与老城体验）","HomeView","三主题入口","老城总线","古浮桥","P0-02_OldCityLife_culture_01.jpg","https://www.gzswhg.com.cn/tsk_show.aspx?id=1114","其他可靠来源","是","两者都可","推荐卡片","轻度","俯拍线条清晰，但更像资料图，不够像主题入口","备选"
"P0-02（城市风味与老城体验）","HomeView","三主题入口","老城总线","江南宋城街区","P0-02_OldCityLife_official_02.jpg","https://www.ganzhou.gov.cn/zfxxgk/c145304/202211/eb34961986bd4118b1e4318536433133.shtml","官方","是","两者都可","推荐卡片","轻度","夜景街区锚点明确，叠字和横裁都更稳","主选"
